exo_states,endo_states,wins,valid
a_nu_z,p,753,999
a_mu_nu,p,90,183
a_nu_w_real,p,72,217
m_real_nu_z,p,20,670
m_real_nu_r_nat,p,18,63
a_nu_r_nat,p,18,966
nu_pi_y,p,14,375
a_r_real_w_real,p,4,6
a_nu_p_z,,3,1000
a_mu_nu_p,,2,181
mu_nu_y,p,2,240
a_n_nu,p,1,183
a_mu_r_real,p,1,2
nu_y_z,p,1,26
i_nu_y,p,1,742
a_n_r_real,p,0,2
m_real_mu_nu,p,0,5
pi_r_real_y,p,0,1
mu_p_r_real_y,,0,1
n_p_r_real_y,,0,1
nu_p_pi_z,,0,54
mu_r_real_y,p,0,1
n_r_real_y,p,0,1
m_real_mu_nu_p,,0,5
a_p_r_real_w_real,,0,5
m_real_n_nu,p,0,5
m_real_n_nu_p,,0,5
p_r_real_w_real_y,,0,1
r_real_w_real_y,p,0,1
a_n_p_r_real,,0,2
a_mu_p_r_real,,0,2
m_real_nu_w_real,p,0,123
nu_pi_z,p,0,56
m_real_nu_p_r_nat,,0,57
a_n_nu_p,,0,181
m_real_nu_p_w_real,,0,114
nu_r_nat_y,p,0,553
a_nu_p_r_nat,,0,966
n_nu_p_y,,0,231
mu_nu_p_y,,0,231
n_nu_y,p,0,240
nu_p_r_nat_y,,0,542
i_nu_p_y,,0,730
nu_p_pi_y,,0,355
m_real_nu_p_z,,0,655
a_nu_p_w_real,,0,204
nu_p_y_z,,0,28
nu_w_real_y,p,0,29
nu_p_w_real_y,,0,27
nu_r_real_y,p,0,136
nu_p_r_real_y,,0,139
a_nu_r_real,p,0,131
a_nu_p_r_real,,0,131
p_pi_r_real_y,,0,1
