,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
0,-11962.036950992448,-11732.781974625495,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6069.018475496224,1.0,0.9837999823064797,0.5003334319946724,1.4715156005886778,1.0,2.0,3.0,6.0,0.0,1.0,1.0
1,-11977.061473878819,-11747.806497511867,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6076.5307369394095,1.0,0.9775284968981346,0.25446658309179165,1.529166422582869,1.0,2.0,3.0,6.0,0.0,1.0,1.0
2,-11957.076281790514,-11727.821305423562,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6066.538140895257,1.0,0.9867353657581537,0.4137153461100216,1.2857986742305545,1.0,2.0,3.0,5.0,0.0,1.0,1.0
3,-11949.302982437195,-11720.048006070243,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6062.651491218598,1.0,0.9850848385175333,0.4148900623004239,1.421603844764009,1.0,2.0,3.0,5.0,0.0,1.0,1.0
4,-20124.11438733989,-19894.85941097294,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10150.057193669945,1.0,0.9674404311327318,0.0022973462878615905,0.07991750606097064,1.0,2.0,3.0,6.0,1.0,1.0,1.0
5,-11916.284989455824,-11687.030013088872,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6046.142494727912,1.0,0.9837095922589352,0.004602289008302777,1.7254676811708123,1.0,2.0,3.0,4.0,0.0,1.0,1.0
6,-11939.64164571156,-11710.386669344607,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.82082285578,1.0,0.9747595291189952,0.07560934232756918,1.5711875195085436,1.0,2.0,3.0,5.0,0.0,1.0,1.0
7,-11943.890714908674,-11714.635738541721,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6059.945357454337,1.0,0.9854666870117598,0.3736707474271113,1.3985803478047794,1.0,2.0,3.0,5.0,0.0,1.0,1.0
8,-11925.584053277606,-11696.329076910653,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6050.792026638803,1.0,0.9811928972895245,0.1492714027840279,1.647441036268269,1.0,2.0,3.0,5.0,0.0,1.0,1.0
9,-11927.292012898315,-11698.037036531363,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6051.6460064491575,1.0,0.974369527490067,0.023042064125309823,1.615969474646175,1.0,2.0,3.0,4.0,0.0,1.0,1.0
10,-19791.28413783062,-19562.029161463666,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",9983.64206891531,1.0,0.9794092635119703,0.00038980290214275364,0.08690688859326035,1.0,2.0,3.0,6.0,1.0,1.0,1.0
11,-11928.078575434349,-11698.823599067397,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6052.039287717174,1.0,0.9759031476653759,0.02526530341591348,1.5084688855466228,1.0,2.0,3.0,5.0,0.0,1.0,1.0
12,-11971.950044571915,-11742.695068204963,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6073.9750222859575,1.0,0.9885233077530671,0.26650195477635835,1.311174087219598,1.0,2.0,3.0,5.0,0.0,1.0,1.0
13,-19902.764274975336,-19673.509298608384,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10039.382137487668,1.0,0.9685409283147077,0.002782974052023212,0.07321921355437529,1.0,2.0,3.0,6.0,1.0,1.0,1.0
14,-11979.286477558886,-11750.031501191934,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6077.643238779443,1.0,0.9856218632592135,0.14093231241348908,1.277544471417144,1.0,2.0,3.0,5.0,0.0,1.0,1.0
15,-11971.834736924864,-11742.579760557912,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6073.917368462432,1.0,0.9727299323148983,0.1879380118142418,1.4219614447650109,1.0,2.0,3.0,5.0,0.0,1.0,1.0
16,-11973.43584841088,-11744.180872043928,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6074.71792420544,1.0,0.9935504444513388,0.6331599192637295,1.4298139976385724,1.0,2.0,3.0,5.0,0.0,1.0,1.0
17,-11965.462604427474,-11736.207628060522,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6070.731302213737,1.0,0.9852146875912439,0.5543867409948361,1.4028955634332407,1.0,2.0,3.0,5.0,0.0,1.0,1.0
18,-11922.952398752454,-11693.697422385501,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6049.476199376227,1.0,0.9767411943992418,0.05938457185434638,1.6225488501529637,1.0,2.0,3.0,5.0,0.0,1.0,1.0
19,-11976.836591077039,-11747.581614710087,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6076.4182955385195,1.0,0.9836602056034177,0.1813152789121025,1.4961052413240192,1.0,2.0,3.0,5.0,0.0,1.0,1.0
20,-11941.442927534383,-11712.18795116743,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6058.721463767191,1.0,0.9818791922371002,0.03931258058644569,1.4555399361759942,1.0,2.0,3.0,4.0,0.0,1.0,1.0
21,-11931.779248959392,-11702.52427259244,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6053.889624479696,1.0,0.9920115170910975,0.37065935115985316,1.5722309454677716,1.0,2.0,3.0,5.0,0.0,1.0,1.0
22,-11948.708485764902,-11719.45350939795,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6062.354242882451,1.0,0.978724891242495,0.14422447125796078,1.4699062548103685,1.0,2.0,3.0,5.0,0.0,1.0,1.0
23,-11935.470340377042,-11706.21536401009,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.735170188521,1.0,0.97293255955902,0.1117709170907579,1.5546582280988865,1.0,2.0,3.0,5.0,0.0,1.0,1.0
24,-11929.395935419368,-11700.140959052416,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6052.697967709684,1.0,0.9811941136856308,0.024196351752544608,1.5586644137985024,1.0,2.0,3.0,6.0,0.0,1.0,1.0
25,-11948.76087826252,-11719.505901895567,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6062.38043913126,1.0,0.9844907088862913,0.4501218251184139,1.4522826531213662,1.0,2.0,3.0,5.0,0.0,1.0,1.0
26,-12005.524213591967,-11776.269237225015,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6090.7621067959835,1.0,0.9678571096905447,0.07540441243076479,1.3356180927514436,1.0,2.0,3.0,5.0,0.0,1.0,1.0
27,-11976.929010548365,-11747.674034181413,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6076.464505274183,1.0,0.9963994769380886,0.8395817845014812,1.37672100202203,1.0,2.0,3.0,5.0,0.0,1.0,1.0
28,-11758.183680905164,-11528.928704538212,"['y', 'c', 'l', 'z', 'w', 'i']",['k'],"['g', 'r']",5967.091840452582,1.0,0.965194010849751,0.003939159208338862,1.0785072191583822,1.0,2.0,3.0,2.0,-1.0,0.0,1.0
29,-11955.896991695072,-11726.64201532812,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6065.948495847536,1.0,0.9772765133856385,0.06028868454491104,1.4744398770199925,1.0,2.0,3.0,5.0,0.0,1.0,1.0
30,-11924.92197712478,-11695.667000757829,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6050.46098856239,1.0,0.9882358112730568,0.3873670706114951,1.479252531778739,1.0,2.0,3.0,5.0,0.0,1.0,1.0
31,-11965.825527642797,-11736.570551275845,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6070.912763821399,1.0,0.9774757063733548,0.02847503986615667,1.3169837437332472,1.0,2.0,3.0,5.0,0.0,1.0,1.0
32,-11970.430655845112,-11741.17567947816,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6073.215327922556,1.0,0.9919604224021559,0.6907244022289332,1.2291071851886652,1.0,2.0,3.0,6.0,0.0,1.0,1.0
33,-11964.444786100223,-11735.18980973327,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6070.222393050111,1.0,0.9802164524102028,0.20271514727035952,1.8673337111296837,1.0,2.0,3.0,6.0,0.0,1.0,1.0
34,-11968.89843457066,-11739.643458203707,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6072.44921728533,1.0,0.9826455543875869,0.15866766823159806,1.3314354938432942,1.0,2.0,3.0,5.0,0.0,1.0,1.0
35,-11938.561498539868,-11709.306522172916,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.280749269934,1.0,0.976242523868871,0.14918971696780076,1.6536155166818034,1.0,2.0,3.0,5.0,0.0,1.0,1.0
36,-11904.657551622244,-11675.402575255292,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6040.328775811122,1.0,0.9799774216912865,0.12438194771110193,1.7118648612838328,1.0,2.0,3.0,5.0,0.0,1.0,1.0
37,-11905.742523550985,-11676.487547184033,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6040.871261775493,1.0,0.9777171061031849,0.06907802602367237,1.8478063068975688,1.0,2.0,3.0,5.0,0.0,1.0,1.0
38,-11931.489904786415,-11702.234928419462,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6053.744952393207,1.0,0.9678383999049052,0.0660907305285104,1.571586025603591,1.0,2.0,3.0,5.0,0.0,1.0,1.0
39,-11939.80866456793,-11710.553688200978,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.904332283965,1.0,0.9773846288682588,0.10720598116638157,1.5041803326755891,1.0,2.0,3.0,5.0,0.0,1.0,1.0
40,-11955.691132642627,-11726.436156275675,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6065.8455663213135,1.0,0.9974285175505262,0.8201418841772514,1.4609435273901006,1.0,2.0,3.0,5.0,0.0,1.0,1.0
41,-11916.847502766204,-11687.592526399252,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6046.423751383102,1.0,0.9744028335506766,0.13538412734608732,1.6814377225212307,1.0,2.0,3.0,5.0,0.0,1.0,1.0
42,-19961.147481452786,-19731.892505085834,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10068.573740726393,1.0,0.9702400910990638,0.000676903716335771,0.0749186636319576,1.0,2.0,3.0,6.0,1.0,1.0,1.0
43,-11942.946552760612,-11713.69157639366,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6059.473276380306,1.0,0.9836850619766728,0.2061692093792757,1.5155654758770483,1.0,2.0,3.0,5.0,0.0,1.0,1.0
44,-11946.324220669514,-11717.069244302562,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6061.162110334757,1.0,0.9862230457633245,0.29866418467035066,1.5904318108568911,1.0,2.0,3.0,5.0,0.0,1.0,1.0
45,-11972.99345550473,-11743.738479137777,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6074.496727752365,1.0,0.9842300736697762,0.1458916252584457,1.4514471962851079,1.0,2.0,3.0,5.0,0.0,1.0,1.0
46,-11949.964148474077,-11720.709172107125,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6062.982074237038,1.0,0.976723908441584,0.13810658965999062,1.4630461378139326,1.0,2.0,3.0,5.0,0.0,1.0,1.0
47,-12060.733849666292,-11831.47887329934,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6118.366924833146,1.0,0.9819457634692743,0.33952181116716174,1.171036198840605,1.0,2.0,3.0,4.0,0.0,1.0,1.0
48,-19828.04256020373,-19598.787583836776,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10002.021280101864,1.0,0.9731989778007331,0.0007126173348114311,0.058407943162626944,1.0,2.0,3.0,5.0,1.0,1.0,1.0
49,-11939.186299049074,-11709.931322682121,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.593149524537,1.0,0.9707642786942788,0.002690909465194936,1.5151068865799184,1.0,2.0,3.0,5.0,0.0,1.0,1.0
50,-11939.67727114962,-11710.422294782667,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.83863557481,1.0,0.9816103765882322,0.22985390055057223,1.5384163154496229,1.0,2.0,3.0,5.0,0.0,1.0,1.0
51,-11943.303763352473,-11714.04878698552,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6059.651881676236,1.0,0.988173369626223,0.21778878944328753,1.4528546849030564,1.0,2.0,3.0,5.0,0.0,1.0,1.0
52,-11954.200906007209,-11724.945929640257,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6065.100453003604,1.0,0.9790900118571709,0.328113093220814,1.366817897950869,1.0,2.0,3.0,5.0,0.0,1.0,1.0
53,-11944.213735981277,-11714.958759614325,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6060.106867990638,1.0,0.9856036908531586,0.5752897929727254,1.3864959783194823,1.0,2.0,3.0,6.0,0.0,1.0,1.0
54,-11938.405341072552,-11709.1503647056,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.202670536276,1.0,0.9837816212141263,0.09333200663567107,1.5243629870550692,1.0,2.0,3.0,5.0,0.0,1.0,1.0
55,-11981.030610243477,-11751.775633876525,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6078.5153051217385,1.0,0.9741050958843726,0.1382055519713397,1.3381283513740423,1.0,2.0,3.0,5.0,0.0,1.0,1.0
56,-11932.985525778666,-11703.730549411714,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6054.492762889333,1.0,0.9791546019357075,0.032315696044055264,1.49821988044829,1.0,2.0,3.0,4.0,0.0,1.0,1.0
57,-11921.823689699144,-11692.568713332192,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6048.911844849572,1.0,0.980155162711722,0.009445636901225626,1.671145206425242,1.0,2.0,3.0,5.0,0.0,1.0,1.0
58,-11918.156498862936,-11688.901522495984,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6047.078249431468,1.0,0.9806126362945611,0.19764589119192377,1.592816020920308,1.0,2.0,3.0,5.0,0.0,1.0,1.0
59,-11933.094968422354,-11703.839992055402,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6054.547484211177,1.0,0.9786832722073517,0.0852814377993254,1.4517675513580763,1.0,2.0,3.0,5.0,0.0,1.0,1.0
60,-12002.430776462494,-11773.175800095541,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6089.215388231247,1.0,0.9840738451899884,0.2184634120353479,1.2002313852077213,1.0,2.0,3.0,5.0,0.0,1.0,1.0
61,-11934.145933366404,-11704.890956999452,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.072966683202,1.0,0.987620729232481,0.5338022892845553,1.5692783990821688,1.0,2.0,3.0,5.0,0.0,1.0,1.0
62,-11921.605919731375,-11692.350943364423,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6048.802959865688,1.0,0.9721149958812483,0.08914661517513923,1.6482984776148784,1.0,2.0,3.0,5.0,0.0,1.0,1.0
63,-11935.011128260203,-11705.75615189325,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.505564130101,1.0,0.9727496292715134,0.00810007911183,1.5585017922511886,1.0,2.0,3.0,5.0,0.0,1.0,1.0
64,-11922.901056378247,-11693.646080011295,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6049.450528189123,1.0,0.9817838450700173,0.28348775315388225,1.4750883727952728,1.0,2.0,3.0,5.0,0.0,1.0,1.0
65,-11945.083258087761,-11715.82828172081,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6060.541629043881,1.0,0.9751137844611879,0.05192806343741086,1.557198858587786,1.0,2.0,3.0,5.0,0.0,1.0,1.0
66,-11972.172518262325,-11742.917541895373,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6074.0862591311625,1.0,0.9785391372264014,0.08389868157164349,1.431840144158796,1.0,2.0,3.0,5.0,0.0,1.0,1.0
67,-11951.161143492716,-11721.906167125764,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6063.580571746358,1.0,0.988229498358782,0.6032133967020378,1.4819174272956173,1.0,2.0,3.0,5.0,0.0,1.0,1.0
68,-11943.564302536764,-11714.309326169812,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6059.782151268382,1.0,0.982676264728093,0.4140415148222411,1.5055129417343938,1.0,2.0,3.0,6.0,0.0,1.0,1.0
69,-11934.966408098295,-11705.711431731343,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6055.483204049147,1.0,0.9819956351907784,0.1279250725256553,1.6119049894187836,1.0,2.0,3.0,5.0,0.0,1.0,1.0
70,-11944.362606970273,-11715.107630603321,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6060.181303485137,1.0,0.9921281572911085,0.5909491149918947,1.4195066621857426,1.0,2.0,3.0,6.0,0.0,1.0,1.0
71,-11905.577745744295,-11676.322769377342,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6040.788872872147,1.0,0.9737504525521796,0.07558959527071038,1.7707858864744992,1.0,2.0,3.0,4.0,0.0,1.0,1.0
72,-11936.960682415858,-11707.705706048906,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6056.480341207929,1.0,0.9878697193414856,0.2704942754160086,1.5635436882833267,1.0,2.0,3.0,5.0,0.0,1.0,1.0
73,-11988.489945325286,-11759.234968958333,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6082.244972662643,1.0,0.977627339370251,0.17656126681551534,1.479736087615718,1.0,2.0,3.0,6.0,0.0,1.0,1.0
74,-11921.298788720034,-11692.043812353082,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6048.649394360017,1.0,0.9764000532760975,0.04019686280987526,1.6505570858794816,1.0,2.0,3.0,5.0,0.0,1.0,1.0
75,-11975.006470777515,-11745.751494410562,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6075.503235388757,1.0,0.9835124129374805,0.21170568119797276,1.2442183781777276,1.0,2.0,3.0,5.0,0.0,1.0,1.0
76,-11986.22406028261,-11756.969083915657,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6081.112030141305,1.0,0.9871997051035633,0.47166946508159535,1.362061268730117,1.0,2.0,3.0,5.0,0.0,1.0,1.0
77,-11986.10034502081,-11756.845368653858,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6081.050172510405,1.0,0.9758828248149142,0.28170274165108317,1.284406540833366,1.0,2.0,3.0,5.0,0.0,1.0,1.0
78,-19708.4916883878,-19479.236712020847,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",9942.2458441939,1.0,0.9703915689349938,0.0009379142528378973,0.07649836021393533,1.0,2.0,3.0,6.0,1.0,1.0,1.0
79,-11939.541298613918,-11710.286322246966,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6057.770649306959,1.0,0.9756581708228487,0.0440125418651844,1.4368281342550933,1.0,2.0,3.0,5.0,0.0,1.0,1.0
80,-12026.481897501075,-11797.226921134123,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6101.240948750537,1.0,0.9853347503187292,0.37119283384348967,1.1215663797132591,1.0,2.0,3.0,6.0,0.0,1.0,1.0
81,-11941.649674384043,-11712.394698017091,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6058.824837192022,1.0,0.990562638452614,0.47427743718010146,1.3932443361635427,1.0,2.0,3.0,5.0,0.0,1.0,1.0
82,-11986.458452378261,-11757.20347601131,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6081.229226189131,1.0,0.98165380759419,0.21069178493371205,1.2624056241570019,1.0,2.0,3.0,6.0,0.0,1.0,1.0
83,-19594.713358829733,-19365.45838246278,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",9885.356679414866,1.0,0.966485191043948,0.0005857231763264434,0.07654175251529056,1.0,2.0,3.0,6.0,1.0,1.0,1.0
