DATE,GCEC1
1947-01-01,524.076
1947-04-01,523.632
1947-07-01,523.527
1947-10-01,519.285
1948-01-01,527.02
1948-04-01,545.609
1948-07-01,556.992
1948-10-01,577.508
1949-01-01,592.826
1949-04-01,618.586
1949-07-01,621.848
1949-10-01,610.962
1950-01-01,599.626
1950-04-01,610.577
1950-07-01,600.72
1950-10-01,643.161
1951-01-01,711.604
1951-04-01,806.453
1951-07-01,895.1
1951-10-01,942.439
1952-01-01,970.486
1952-04-01,1003.558
1952-07-01,1013.71
1952-10-01,1030.617
1953-01-01,1063.267
1953-04-01,1085.069
1953-07-01,1073.55
1953-10-01,1070.876
1954-01-01,1043.038
1954-04-01,1007.718
1954-07-01,985.925
1954-10-01,979.99
1955-01-01,980.565
1955-04-01,970.944
1955-07-01,977.156
1955-10-01,957.768
1956-01-01,957.52
1956-04-01,976.854
1956-07-01,968.27
1956-10-01,992.905
1957-01-01,1014.192
1957-04-01,1008.948
1957-07-01,1017.538
1957-10-01,1034.278
1958-01-01,1025.345
1958-04-01,1050.923
1958-07-01,1056.956
1958-10-01,1078.266
1959-01-01,1067.299
1959-04-01,1080.519
1959-07-01,1089.758
1959-10-01,1080.847
1960-01-01,1062.413
1960-04-01,1074.342
1960-07-01,1100.615
1960-10-01,1108.247
1961-01-01,1124.703
1961-04-01,1127.518
1961-07-01,1151.6
1961-10-01,1176.849
1962-01-01,1199.559
1962-04-01,1205.618
1962-07-01,1233.449
1962-10-01,1241.969
1963-01-01,1225.121
1963-04-01,1226.02
1963-07-01,1280.417
1963-10-01,1267.165
1964-01-01,1271.118
1964-04-01,1282.534
1964-07-01,1284.051
1964-10-01,1283.508
1965-01-01,1282.031
1965-04-01,1297.197
1965-07-01,1340.237
1965-10-01,1365.628
1966-01-01,1391.078
1966-04-01,1417.36
1966-07-01,1455.988
1966-10-01,1481.126
1967-01-01,1543.706
1967-04-01,1537.3
1967-07-01,1554.384
1967-10-01,1566.194
1968-01-01,1594.198
1968-04-01,1602.467
1968-07-01,1607.267
1968-10-01,1608.726
1969-01-01,1612.372
1969-04-01,1607.344
1969-07-01,1610.604
1969-10-01,1588.938
1970-01-01,1581.297
1970-04-01,1562.913
1970-07-01,1569.519
1970-10-01,1570.25
1971-01-01,1547.285
1971-04-01,1543.73
1971-07-01,1542.925
1971-10-01,1532.081
1972-01-01,1540.54
1972-04-01,1546.74
1972-07-01,1517.283
1972-10-01,1529.836
1973-01-01,1543.007
1973-04-01,1532.134
1973-07-01,1514.109
1973-10-01,1525.47
1974-01-01,1553.025
1974-04-01,1560.805
1974-07-01,1563.915
1974-10-01,1571.409
1975-01-01,1588.522
1975-04-01,1575.097
1975-07-01,1604.521
1975-10-01,1618.578
1976-01-01,1621.123
1976-04-01,1603.086
1976-07-01,1598.395
1976-10-01,1597.415
1977-01-01,1610.994
1977-04-01,1625.734
1977-07-01,1632.263
1977-10-01,1628.37
1978-01-01,1628.786
1978-04-01,1669.636
1978-07-01,1685.06
1978-10-01,1700.228
1979-01-01,1683.418
1979-04-01,1699.82
1979-07-01,1704.785
1979-10-01,1716.013
1980-01-01,1741.199
1980-04-01,1744.621
1980-07-01,1720.876
1980-10-01,1720.497
1981-01-01,1743.509
1981-04-01,1746.861
1981-07-01,1740.845
1981-10-01,1762.971
1982-01-01,1761.007
1982-04-01,1767.7
1982-07-01,1781.872
1982-10-01,1809.342
1983-01-01,1826.731
1983-04-01,1841.783
1983-07-01,1873.573
1983-10-01,1843.592
1984-01-01,1863.131
1984-04-01,1903.604
1984-07-01,1919.015
1984-10-01,1959.307
1985-01-01,1980.645
1985-04-01,2024.602
1985-07-01,2070.747
1985-10-01,2079.283
1986-01-01,2095.711
1986-04-01,2139.397
1986-07-01,2185.996
1986-10-01,2176.964
1987-01-01,2189.731
1987-04-01,2206.709
1987-07-01,2209.027
1987-10-01,2242.147
1988-01-01,2223.44
1988-04-01,2230.079
1988-07-01,2230.341
1988-10-01,2273.619
1989-01-01,2263.625
1989-04-01,2298.443
1989-07-01,2319.122
1989-10-01,2330.755
1990-01-01,2368.025
1990-04-01,2371.758
1990-07-01,2375.531
1990-10-01,2391.414
1991-01-01,2405.676
1991-04-01,2415.461
1991-07-01,2408.695
1991-10-01,2391.07
1992-01-01,2412.262
1992-04-01,2407.597
1992-07-01,2422.933
1992-10-01,2422.653
1993-01-01,2392.598
1993-04-01,2392.812
1993-07-01,2396.214
1993-10-01,2404.675
1994-01-01,2374.923
1994-04-01,2386.677
1994-07-01,2426.909
1994-10-01,2405.793
1995-01-01,2414.209
1995-04-01,2422.321
1995-07-01,2415.965
1995-10-01,2390.687
1996-01-01,2406.456
1996-04-01,2436.429
1996-07-01,2436.413
1996-10-01,2453.226
1997-01-01,2440.476
1997-04-01,2472.101
1997-07-01,2483.546
1997-10-01,2496.01
1998-01-01,2487.078
1998-04-01,2530.606
1998-07-01,2549.668
1998-10-01,2564.713
1999-01-01,2582.15
1999-04-01,2591.864
1999-07-01,2623.303
1999-10-01,2664.249
2000-01-01,2645.393
2000-04-01,2671.254
2000-07-01,2659.687
2000-10-01,2675.695
2001-01-01,2716.773
2001-04-01,2764.085
2001-07-01,2761.354
2001-10-01,2806.951
2002-01-01,2855.529
2002-04-01,2877.458
2002-07-01,2892.823
2002-10-01,2915.13
2003-01-01,2918.534
2003-04-01,2946.145
2003-07-01,2953.056
2003-10-01,2971.022
2004-01-01,2984.42
2004-04-01,2992.385
2004-07-01,2997.86
2004-10-01,2996.211
2005-01-01,3011.182
2005-04-01,3009.466
2005-07-01,3019.418
2005-10-01,3021.766
2006-01-01,3060.135
2006-04-01,3059.225
2006-07-01,3054.837
2006-10-01,3079.918
2007-01-01,3084.455
2007-04-01,3112.464
2007-07-01,3126.544
2007-10-01,3150.762
2008-01-01,3157.702
2008-04-01,3184.542
2008-07-01,3209.489
2008-10-01,3230.492
2009-01-01,3266.177
2009-04-01,3313.168
2009-07-01,3321.897
2009-10-01,3328.046
2010-01-01,3315.216
2010-04-01,3326.546
2010-07-01,3303.891
2010-10-01,3283.262
2011-01-01,3243.232
2011-04-01,3221.366
2011-07-01,3175.463
2011-10-01,3173.227
2012-01-01,3159.561
2012-04-01,3143.038
2012-07-01,3138.209
2012-10-01,3107.233
2013-01-01,3079.392
2013-04-01,3073.951
2013-07-01,3057.412
2013-10-01,3033.402
2014-01-01,3020.848
2014-04-01,3024.639
2014-07-01,3044.883
2014-10-01,3043.414
2015-01-01,3059.01
