DATE,LFWA64TTUSM647S
1977-01-01,135233319.155793
1977-02-01,135386843.00108
1977-03-01,135657561.24455
1977-04-01,135855338.869144
1977-05-01,136214359.68051
1977-06-01,136380702.48893598
1977-07-01,136562364.006089
1977-08-01,136707144.61368102
1977-09-01,136950553.649385
1977-10-01,137179871.915706
1977-11-01,137351760.111337
1977-12-01,137498628.273321
1978-01-01,137703459.790609
1978-02-01,137898126.281405
1978-03-01,138054996.543204
1978-04-01,138234791.589573
1978-05-01,138428168.508867
1978-06-01,138692179.69085
1978-07-01,138826102.92503798
1978-08-01,138930550.945941
1978-09-01,139176630.231352
1978-10-01,139375693.456365
1978-11-01,139616975.1213
1978-12-01,139834085.719928
1979-01-01,140077027.229142
1979-02-01,140291039.90689498
1979-03-01,140509415.311171
1979-04-01,140521406.89485902
1979-05-01,140745338.595478
1979-06-01,141048109.17538098
1979-07-01,141144097.912799
1979-08-01,141282062.85804802
1979-09-01,141518654.78348
1979-10-01,141766948.111794
1979-11-01,142031839.483354
1979-12-01,142244235.519448
1980-01-01,142439426.971504
1980-02-01,142642686.88746202
1980-03-01,142811574.59204802
1980-04-01,142926052.578592
1980-05-01,143207507.262019
1980-06-01,143385392.416159
1980-07-01,143531012.422639
1980-08-01,143782093.603993
1980-09-01,143937881.128922
1980-10-01,144049294.295128
1980-11-01,144244178.864193
1980-12-01,144294595.038587
1981-01-01,144388973.568135
1981-02-01,144547810.778936
1981-03-01,144716333.533243
1981-04-01,144871075.17777
1981-05-01,145097017.666329
1981-06-01,145287768.112298
1981-07-01,145350032.22908399
1981-08-01,145537017.38938
1981-09-01,145681553.43384603
1981-10-01,145861335.00143
1981-11-01,146034555.565644
1981-12-01,146093914.817763
1982-01-01,145996168.423015
1982-02-01,146098025.517519
1982-03-01,146250505.973492
1982-04-01,146508641.109249
1982-05-01,146772209.918073
1982-06-01,146897159.26981002
1982-07-01,147019643.200757
1982-08-01,147257958.51519898
1982-09-01,147469921.752263
1982-10-01,147631608.900888
1982-11-01,147629806.083809
1982-12-01,147627121.222132
1983-01-01,147311118.474577
1983-02-01,147407893.92895
1983-03-01,147618751.172654
1983-04-01,147979716.625756
1983-05-01,148204900.01936802
1983-06-01,148340038.86466
1983-07-01,148493049.66925898
1983-08-01,148663988.304623
1983-09-01,148811038.805801
1983-10-01,148923503.82479
1983-11-01,148940126.226494
1983-12-01,149024508.40688902
1984-01-01,149165656.329308
1984-02-01,149325336.99145898
1984-03-01,149474262.314864
1984-04-01,149623450.064412
1984-05-01,149713739.596771
1984-06-01,149955600.515642
1984-07-01,150021603.433291
1984-08-01,150127486.31168202
1984-09-01,150314462.856951
1984-10-01,150397602.521628
1984-11-01,150523298.505243
1984-12-01,150683529.39547798
1985-01-01,150503916.100826
1985-02-01,150657272.317614
1985-03-01,150830723.968261
1985-04-01,150882580.230307
1985-05-01,150976949.84422
1985-06-01,151250781.752317
1985-07-01,151277321.198152
1985-08-01,151395297.390902
1985-09-01,151500123.788181
1985-10-01,151650036.635937
1985-11-01,151791277.50539598
1985-12-01,151925818.593112
1986-01-01,152367830.659872
1986-02-01,152469795.71897
1986-03-01,152635433.576636
1986-04-01,152737713.942574
1986-05-01,152869405.726103
1986-06-01,153074683.816347
1986-07-01,153150804.689157
1986-08-01,153318844.846847
1986-09-01,153442765.586826
1986-10-01,153599979.66999102
1986-11-01,153741787.510965
1986-12-01,153833884.910788
1987-01-01,153836255.989436
1987-02-01,154044917.97551998
1987-03-01,154200012.524027
1987-04-01,154326460.303653
1987-05-01,154500854.888553
1987-06-01,154636740.226758
1987-07-01,154715311.782642
1987-08-01,154819083.432988
1987-09-01,154930002.092543
1987-10-01,155077251.855986
1987-11-01,155221694.397575
1987-12-01,155342779.70597702
1988-01-01,155375957.91128
1988-02-01,155508161.055776
1988-03-01,155600204.83437
1988-04-01,155688384.56499398
1988-05-01,155811418.660748
1988-06-01,155996958.62643498
1988-07-01,156125309.730667
1988-08-01,156149470.95033598
1988-09-01,156254561.92570898
1988-10-01,156406758.23632902
1988-11-01,156482013.966488
1988-12-01,156641060.645699
1989-01-01,156729695.647277
1989-02-01,156847789.741858
1989-03-01,156922302.15410802
1989-04-01,156968413.032716
1989-05-01,157008397.635172
1989-06-01,157159440.862442
1989-07-01,157254320.917104
1989-08-01,157302163.66860598
1989-09-01,157468891.223544
1989-10-01,157551129.880645
1989-11-01,157653378.26238897
1989-12-01,157838108.563652
1990-01-01,159322178.739606
1990-02-01,159487253.418253
1990-03-01,159596254.471375
1990-04-01,159621429.083295
1990-05-01,159707059.743733
1990-06-01,159811812.48251402
1990-07-01,159876007.833768
1990-08-01,159996830.45213202
1990-09-01,160208073.84157
1990-10-01,160312159.566765
1990-11-01,160507257.314819
1990-12-01,160673365.513752
1991-01-01,160513564.80108398
1991-02-01,160595878.076482
1991-03-01,160735832.848232
1991-04-01,160915570.764075
1991-05-01,161064994.728854
1991-06-01,161191209.984388
1991-07-01,161243257.815256
1991-08-01,161432425.57250398
1991-09-01,161589584.433015
1991-10-01,161707104.74493298
1991-11-01,161860380.735821
1991-12-01,161969525.067979
1992-01-01,161726924.69424698
1992-02-01,161877458.064287
1992-03-01,162063082.552125
1992-04-01,162263215.83833998
1992-05-01,162464844.383773
1992-06-01,162504625.842744
1992-07-01,162644649.43995503
1992-08-01,162941325.531542
1992-09-01,163080208.352675
1992-10-01,163226495.044207
1992-11-01,163350510.29187003
1992-12-01,163415912.403135
1993-01-01,163343414.17706302
1993-02-01,163470371.074418
1993-03-01,163599931.303027
1993-04-01,163837282.893278
1993-05-01,164038404.32823002
1993-06-01,164113170.95126
1993-07-01,164278463.659342
1993-08-01,164458889.09467602
1993-09-01,164588169.02042702
1993-10-01,164766571.253055
1993-11-01,164886080.643491
1993-12-01,164998719.018381
1994-01-01,165017976.148765
1994-02-01,165170653.698023
1994-03-01,165289454.18350703
1994-04-01,165518412.403158
1994-05-01,165625038.479612
1994-06-01,165728081.382331
1994-07-01,165866897.14045298
1994-08-01,165953626.432729
1994-09-01,166121602.394244
1994-10-01,166272897.10686
1994-11-01,166405294.610402
1994-12-01,166566255.850988
1995-01-01,166472265.622761
1995-02-01,166620382.57671702
1995-03-01,166718305.84091002
1995-04-01,166842698.505983
1995-05-01,166914466.918517
1995-06-01,167045022.627432
1995-07-01,167201193.984383
1995-08-01,167332810.564845
1995-09-01,167480920.834672
1995-10-01,167594326.830558
1995-11-01,167753150.430247
1995-12-01,167912917.467794
1996-01-01,167887318.86615402
1996-02-01,168053133.411169
1996-03-01,168261359.035987
1996-04-01,168456563.963797
1996-05-01,168603485.58089998
1996-06-01,168800405.421876
1996-07-01,168925256.14903
1996-08-01,169084628.18280903
1996-09-01,169279916.09982
1996-10-01,169372009.26362002
1996-11-01,169604313.328756
1996-12-01,169766136.62522
1997-01-01,170285110.148678
1997-02-01,170446301.60879502
1997-03-01,170618329.80613202
1997-04-01,170786743.436539
1997-05-01,170907690.572068
1997-06-01,171063037.60081202
1997-07-01,171185893.804698
