DATE,RKNANPUSA666NRUG
1950-01-01,8891881.0
1951-01-01,9173946.0
1952-01-01,9477437.0
1953-01-01,9821675.0
1954-01-01,10150217.0
1955-01-01,10518995.0
1956-01-01,10884313.0
1957-01-01,11240927.0
1958-01-01,11563610.0
1959-01-01,11971417.0
1960-01-01,12368243.0
1961-01-01,12783005.0
1962-01-01,13249005.0
1963-01-01,13754964.0
1964-01-01,14311738.0
1965-01-01,14924471.0
1966-01-01,15578921.0
1967-01-01,16194776.0
1968-01-01,16826678.0
1969-01-01,17452998.0
1970-01-01,17994764.0
1971-01-01,18544720.0
1972-01-01,19172328.0
1973-01-01,19867098.0
1974-01-01,20458788.0
1975-01-01,20908564.0
1976-01-01,21441814.0
1977-01-01,22093302.0
1978-01-01,22869542.0
1979-01-01,23685896.0
1980-01-01,24366128.0
1981-01-01,25027838.0
1982-01-01,25557936.0
1983-01-01,26167138.0
1984-01-01,26987296.0
1985-01-01,27877784.0
1986-01-01,28766224.0
1987-01-01,29631074.0
1988-01-01,30486728.0
1989-01-01,31344056.0
1990-01-01,32134608.0
1991-01-01,32776264.0
1992-01-01,33454188.0
1993-01-01,34185376.0
1994-01-01,34990428.0
1995-01-01,35841108.0
1996-01-01,36787476.0
1997-01-01,37812116.0
1998-01-01,38962164.0
1999-01-01,40208696.0
2000-01-01,41503672.0
2001-01-01,42652532.0
2002-01-01,43653812.0
2003-01-01,44711544.0
2004-01-01,45879136.0
2005-01-01,47149980.0
2006-01-01,48403288.0
2007-01-01,49529816.0
2008-01-01,50426444.0
2009-01-01,50871128.0
2010-01-01,51328388.0
2011-01-01,51847912.0
2012-01-01,52489352.0
2013-01-01,53159644.0
2014-01-01,53901652.0
2015-01-01,54667052.0
2016-01-01,55412212.0
2017-01-01,56215312.0
