labobs,robs,pinfobs,dy,dc,dinve,dw,ewma,epinfma,zcapf,rkf,kf,pkf,cf,invef,yf,labf,wf,rrf,mc,zcap,rk,k,pk,c,inve,y,lab,pinf,w,r,a,b,g,qs,ms,spinf,sw,kpf,kp
0.25512,0.025998,0.036101,0.39978,-0.00023948,1.9457,0.025315,-9.7343E-19,-5.6263E-18,0.10669,0.059936,0.10669,-0.99142,-0.093976,1.6893,0.27777,0.18184,-0.015212,-0.10057,0.04061,0.17957,0.10087,0.17957,-0.52549,-0.00023948,1.9457,0.39978,0.25512,0.036101,0.025315,0.025998,2.4307E-17,3.8933E-17,0,0.56784,0,-2.4244E-18,-1.5938E-17,0.15914,0.16682
0.34806,0.04963,0.040401,0.17104,0.014045,0.89601,0.033101,-4.2182E-35,-5.0843E-18,0.028862,0.016214,0.188,-1.1291,-0.18034,2.4014,0.34041,0.20833,-0.0041152,0.1174,0.064041,0.15345,0.086204,0.32027,-0.56084,0.013806,2.8417,0.57083,0.34806,0.040401,0.058416,0.04963,-9.4771E-18,-1.1393E-16,1.9725E-17,0.34755,-2.3921E-18,6.2878E-18,-1.12E-18,0.29274,0.31338
0.36601,0.065573,0.03776,0.05149,0.016301,0.29041,0.027552,-1.8279E-51,-4.6037E-18,-0.063186,-0.035495,0.22955,-1.0443,-0.23532,2.5968,0.32349,0.18505,0.0090089,0.18381,0.078658,0.088747,0.049854,0.40213,-0.569,0.030107,3.1321,0.62232,0.36601,0.03776,0.085969,0.065573,-3.0919E-17,-9.7005E-17,3.1298E-17,0.21273,-5.4694E-18,1.9451E-17,1.1597E-17,0.40243,0.43849
0.34292,0.073615,0.03308,-0.016235,0.014054,-0.045428,0.019792,-7.9209E-68,-4.0136E-18,-0.15032,-0.084445,0.2521,-0.88648,-0.2575,2.5309,0.27948,0.14623,0.021433,0.18379,0.085094,0.0065262,0.0036661,0.44501,-0.55458,0.044161,3.0867,0.60608,0.34292,0.03308,0.10576,0.073615,-4.47E-17,-6.9329E-17,3.7723E-17,0.1302,-7.2013E-18,3.4046E-17,2.2505E-17,0.49108,0.54271
0.29958,0.075247,0.027675,-0.051636,0.010765,-0.21912,0.012511,-3.4324E-84,-3.398E-18,-0.22541,-0.12663,0.26567,-0.72196,-0.25348,2.3433,0.23178,0.1069,0.032139,0.15883,0.085239,-0.07995,-0.044912,0.46276,-0.52416,0.054927,2.8676,0.55445,0.29958,0.027675,0.11827,0.075247,-5.3677E-17,-4.8413E-17,4.0905E-17,0.079692,-7.8138E-18,4.8309E-17,3.1413E-17,0.5618,0.62759
0.24848,0.072281,0.022123,-0.067278,0.0078776,-0.29687,0.0064497,-1.4874E-100,-2.8063E-18,-0.28693,-0.16118,0.27487,-0.57658,-0.23146,2.1092,0.18952,0.07278,0.04091,0.12801,0.080951,-0.16289,-0.091504,0.4647,-0.48373,0.062804,2.5707,0.48717,0.24848,0.022123,0.12472,0.072281,-5.9599E-17,-3.3793E-17,4.2059E-17,0.048777,-7.7373E-18,6.1362E-17,3.8364E-17,0.61749,0.69513
0.19688,0.066347,0.016766,-0.071173,0.0058485,-0.31927,0.0017521,-6.4453E-117,-2.2645E-18,-0.33576,-0.18861,0.28173,-0.45727,-0.19865,1.8674,0.15522,0.045247,0.047871,0.0993,0.073801,-0.23805,-0.13373,0.45708,-0.43807,0.068653,2.2514,0.416,0.19688,0.016766,0.12647,0.066347,-6.3539E-17,-2.3579E-17,4.1959E-17,0.029854,-7.2887E-18,7.2837E-17,4.352E-17,0.66064,0.74746
0.14876,0.058735,0.011823,-0.068389,0.0046836,-0.311,-0.0016698,-2.793E-133,-1.784E-18,-0.37361,-0.20988,0.28703,-0.36292,-0.16059,1.6371,0.12862,0.023888,0.053268,0.075329,0.065034,-0.30344,-0.17046,0.44402,-0.39068,0.073336,1.9404,0.34761,0.14876,0.011823,0.1248,0.058735,-6.6158E-17,-1.6344E-17,4.1105E-17,0.018273,-6.6669E-18,8.2653E-17,4.7096E-17,0.69339,0.7867
0.10606,0.050391,0.0074209,-0.0621,0.0042095,-0.28698,-0.0039967,-1.2103E-149,-1.3677E-18,-0.40233,-0.22601,0.29106,-0.28965,-0.12118,1.4267,0.10843,0.0076855,0.057363,0.056387,0.055589,-0.35846,-0.20137,0.42823,-0.34398,0.077546,1.6534,0.28551,0.10606,0.0074209,0.12081,0.050391,-6.7868E-17,-1.1143E-17,3.9819E-17,0.011184,-5.989E-18,9.0877E-17,4.9318E-17,0.71749,0.8148
0.069499,0.041974,0.0036214,-0.054265,0.0042085,-0.25603,-0.0054363,-5.2446E-166,-1.0134E-18,-0.42359,-0.23796,0.2939,-0.23311,-0.08291,1.2388,0.093255,-0.0044525,0.060395,0.041853,0.046149,-0.40335,-0.22658,0.41145,-0.29957,0.081754,1.3974,0.23124,0.069499,0.0036214,0.11537,0.041974,-6.8929E-17,-7.3561E-18,3.8309E-17,0.0068454,-5.3207E-18,9.7651E-17,5.0406E-17,0.73442,0.83356
